Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,25580.150391,26058.759766,25451.419922,25868.490234,25868.490234,58000
2015-11-23,25945.140625,26184.650391,25703.859375,26128.199219,26128.199219,36400
2015-11-30,26142.529297,26256.419922,25623.710938,25638.109375,25638.109375,49400
2015-12-07,25746.029297,25785.529297,24930.429688,25044.429688,25044.429688,58700
2015-12-14,24935.599609,25831.310547,24867.730469,25519.220703,25519.220703,65200
2015-12-21,25425.320313,25922.470703,25413.539063,25838.710938,25838.710938,28000
2015-12-28,25858.519531,26147.630859,25856.859375,26117.539063,26117.539063,25600
2016-01-04,26116.519531,26116.519531,24825.699219,24934.330078,24934.330078,60500
2016-01-11,24787.109375,25018.460938,24387.689453,24455.039063,24455.039063,62500
2016-01-18,24400.779297,24563.339844,23839.759766,24435.660156,24435.660156,59100
2016-01-25,24540.970703,24911.900391,24340.060547,24870.689453,24870.689453,38200
2016-02-01,24982.220703,25002.320313,24187.539063,24616.970703,24616.970703,60600
2016-02-08,24637.410156,24698.949219,22600.390625,22986.119141,22986.119141,90900
2016-02-15,23223.429688,23774.480469,22920.839844,23709.150391,23709.150391,86500
2016-02-22,23783.470703,23855.039063,22948.099609,23154.300781,23154.300781,67600
2016-02-29,23238.500000,24719.050781,22494.609375,24646.480469,24646.480469,134400
2016-03-07,24655.189453,24820.759766,24451.599609,24717.990234,24717.990234,67100
2016-03-14,24801.699219,24986.939453,24354.550781,24952.740234,24952.740234,81900
2016-03-21,25007.560547,25381.330078,24988.269531,25337.560547,25337.560547,33900
2016-03-28,25417.109375,25479.619141,24835.560547,25269.640625,25269.640625,54700
2016-04-04,25333.980469,25424.150391,24608.509766,24673.839844,24673.839844,61800
2016-04-11,24789.400391,25671.500000,24523.199219,25626.750000,25626.750000,52000
2016-04-18,25833.160156,26080.070313,25634.119141,25838.140625,25838.140625,51300
2016-04-25,25891.029297,26100.539063,25424.029297,25606.619141,25606.619141,59800
2016-05-02,25565.439453,25705.960938,25057.929688,25228.500000,25228.500000,57100
2016-05-09,25321.830078,25827.029297,25302.859375,25489.570313,25489.570313,53800
2016-05-16,25528.800781,25927.310547,25251.900391,25301.900391,25301.900391,62100
2016-05-23,25447.720703,26677.429688,25181.470703,26653.599609,26653.599609,66200
2016-05-30,26694.750000,27008.140625,26561.580078,26843.029297,26843.029297,78800
